"","landmark","total"
"2517","DONLEY COUNTY",11
"2518","DONLEY COUNTY JAIL",1
"2519","DONNA CITY JAIL, TX - TX1080200",60
"2520","DONOVAN STATE PRISON",145
"2521","DOOLY COUNTY JAIL",2
"2522","DOOLY COUNTY JAIL, GA",54
"2523","DORAVILLE, GA",124
"2524","DORCHESTER COUNTY DETENTION CENTER",125
"2525","DORCHESTER COUNTY GENERAL AREA",23
"2526","DORCHESTER COUNTY, SC",28
"2527","DORCHESTER DISTRICT COURT",21
"2528","DORCHESTER, SC",5
"2529","DOUBLE OAK POLICE DEPARTMENT",1
"2530","DOUGHERTY COUNTY JAIL, GA",59
"2531","DOUGHERTY COUNTY, GA",5
"2532","DOUGLAS BORDER PATROL AZ STATE",1
"2533","DOUGLAS COUNTY",46
"2534","DOUGLAS COUNTY JAIL",362
"2535","DOUGLAS COUNTY JAIL, MN",17
"2536","DOUGLAS COUNTY JAIL, NE",1495
"2537","DOUGLAS COUNTY JAIL, WI",1
"2538","DOUGLAS COUNTY KS",14
"2539","DOUGLAS COUNTY PROBATION OFFICE",10
"2540","DOUGLAS COUNTY SHERIFFS OFFICE KANSAS",26
"2541","DOUGLAS COUNTY, GA",92
"2542","DOUGLAS COUNTY, NE",1
"2543","DOUGLAS PROBATION OFFICE",2
"2544","DOUGLAS, GA",18
"2545","DOUGLASVILLE PROBATION OFFICE",4
"2546","DOUGLASVILLE, GA (DOUGLAS COUNTY)",66
"2547","DOVER PD",103
"2548","DOVER PROBATION",2
"2549","DPS GIITEM",11
"2550","DREW COUNTY JAIL",3
"2551","DRUG ENFORCEMENT AGENCY",2
"2552","DSM GENERAL AREA, NON-SPECIFIC IOWA",713
"2553","DTN GENERAL AREA, NON-SPECIFIC",2119
"2554","DUAL VOCATIONAL INSTITUTE",5
"2555","DUBLIN FCI/FDC/FPC - CA",490
"2556","DUBOIS COUNTY SHERIFF'S OFFICE, INDIANA",11
"2557","DUBOIS POLICE DEPARTMENT - DUBOIS, PA",1
"2558","DUBUQUE COUNTY JAIL, IA",83
"2559","DUBUQUE RESIDENTIAL FACILITY, IA",5
"2560","DUCHESNE COUNTY JAIL - UT",9
"2561","DUDLEY DISTRICT COURT",5
"2562","DUKE'S COUNTY LOCAL POLICE DEPT",5
"2563","DULUTH, GA",32
"2564","DUMONT PD",12
"2565","DUNCANVILLE POLICE DEPARTMENT",22
"2566","DUNDY COUNTY JAIL, NE",3
"2567","DUNELLEN PD",36
"2568","DUNKIRK, FREDONIA FUGOPS",1
"2569","DUNKLIN COUNTY SHERIFF'S DEPARTMENT, MISSOURI",32
"2570","DUNWOODY, GA",12
"2571","DUPAGE COUNTY JAIL",142
"2572","DUPAGE COUNTY SHERIFF'S OFFICE, IL",3
"2573","DUPLIN COUNTY FUGITIVE OPERATIONS",63
"2574","DUPLIN COUNTY JAIL",152
"2575","DUPLIN COUNTY SHERIFF",1
"2576","DURHAM CO PROBATION 119 ORANGE ST DURHAM",6
"2577","DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM",1
"2578","DURHAM COUNTY FUGITIVE OPERATIONS",160
"2579","DURHAM COUNTY JAIL",629
"2580","DUTY WINDOW 126 NORTHPOINT",3
"2581","DUVAL COUNTY JAIL",7
"2582","DUVAL COUNTY PROBATION & PAROLE",4
"2583","DVD AOR FUGITIVE OPERATIONS",194
"2584","DVD GENERAL AREA, NON-SPECIFIC",629
"2585","DVN GENERAL AREA, NON-SPECIFIC",12
"2586","E DIST OK MUSKOGEE DIV ADAIR CO CRIM AT LARGE",4
"2587","E DIST OK MUSKOGEE DIV ADAIR CO NON CRIM",1
"2588","E DIST OK MUSKOGEE DIV ATOKA CO AT LARGE",1
"2589","E DIST OK MUSKOGEE DIV BRYAN CO AT LARGE",2
"2590","E DIST OK MUSKOGEE DIV BRYAN CO CRIM AT LARGE",2
"2591","E DIST OK MUSKOGEE DIV BRYAN CO PROBATION",1
"2592","E DIST OK MUSKOGEE DIV CHEROKEE CO CRIM AT LARGE",1
"2593","E DIST OK MUSKOGEE DIV HAKSELL CO CRIM AT LARGE",1
"2594","E DIST OK MUSKOGEE DIV HASKELL CO NON CRIM",1
"2595","E DIST OK MUSKOGEE DIV LATIMER CO CRIM AT LARGE",1
"2596","E DIST OK MUSKOGEE DIV LEFLORE CO AT LARGE",3
"2597","E DIST OK MUSKOGEE DIV LEFLORE CO CRIM AT LARGE",2
"2598","E DIST OK MUSKOGEE DIV MARSHALL CO CRIM AT LARGE",3
"2599","E DIST OK MUSKOGEE DIV MCCURTAIN CO CRIM AT LARGE",1
"2600","E DIST OK MUSKOGEE DIV MUSKOGEE CO AT LARGE",4
"2601","E DIST OK MUSKOGEE DIV MUSKOGEE CO CRIM AT LARGE",7
"2602","E DIST OK MUSKOGEE DIV OKMULGEE CO AT LARGE",1
"2603","E DIST OK MUSKOGEE DIV OKMULGEE CO CRIM AT LARGE",1
"2604","E DIST OK MUSKOGEE DIV OKMULGEE CO NON CRIM",1
"2605","E DIST OK MUSKOGEE DIV PITTSBURG CO CRIM AT LARGE",2
"2606","E DIST OK MUSKOGEE DIV PONTOTOC CO CRIM AT LARGE",7
"2607","E DIST OK MUSKOGEE DIV PUSHATAHA CO CRIM AT LARGE",1
"2608","E DIST OK MUSKOGEE DIV SEQUOYAH CO AT LARGE",1
"2609","E DIST OK MUSKOGEE DIV SEQUOYAH CO CRIM AT LARGE",6
"2610","E DIST OK MUSKOGEE DIV SEQUOYAH CO NON CRIM",1
"2611","E DIST OK MUSKOGEE DIV WAGONER CO CRIM AT LARGE",2
"2612","E DIST TX MARSHALL DIV HARRISON CO CRIM AT LARGE",1
"2613","E DIST TX MARSHALL DIV MARSHALL FPO",1
"2614","E DIST TX MARSHALL DIV UPSHUR CO PROBATION",5
"2615","E DIST TX SHERMAN DIV COLLIN CO CRIM AT LARGE",62
"2616","E DIST TX SHERMAN DIV COLLIN CO NON CRIM",20
"2617","E DIST TX SHERMAN DIV COLLIN CO P&P AT LARGE",12
"2618","E DIST TX SHERMAN DIV COLLIN CO PROBATION",105
"2619","E DIST TX SHERMAN DIV COOK CO CRIM AT LARGE",5
"2620","E DIST TX SHERMAN DIV DELTA CO P&P AT LARGE",1
"2621","E DIST TX SHERMAN DIV DENTON CO CRIM AT LARGE",19
"2622","E DIST TX SHERMAN DIV DENTON CO NON CRIM",7
"2623","E DIST TX SHERMAN DIV DENTON CO P&P AT LARGE",18
"2624","E DIST TX SHERMAN DIV DENTON CO PROBATION",15
"2625","E DIST TX SHERMAN DIV FANNIN CO CRIM AT LARGE",5
"2626","E DIST TX SHERMAN DIV FANNIN CO PROBATION",4
"2627","E DIST TX SHERMAN DIV GRAYSON CO CRIM AT LARGE",10
"2628","E DIST TX SHERMAN DIV GRAYSON CO NON CRIM",1
"2629","E DIST TX SHERMAN DIV GRAYSON CO P&P AT LARGE",1
"2630","E DIST TX SHERMAN DIV GRAYSON CO PROBATION",35
"2631","E DIST TX SHERMAN DIV HOPKINS CO CRIM AT LARGE",1
"2632","E DIST TX SHERMAN DIV HOPKINS CO P&P AT LARGE",1
"2633","E DIST TX SHERMAN DIV LAMAR CO CRIM AT LARGE",20
"2634","E DIST TX SHERMAN DIV PLANO FPO",5
"2635","E DIST TX TEXARKANA DIV BOWIE CO NON CRIM",1
"2636","E DIST TX TEXARKANA DIV TITUS CO CRIM AT LARGE",3
"2637","E DIST TX TYLER DIV ANDERSON CO CRIM AT LARGE",7
"2638","E DIST TX TYLER DIV ANDERSON CO NON CRIM",1
"2639","E DIST TX TYLER DIV ANDERSON CO P&P AT LARGE",1
"2640","E DIST TX TYLER DIV ANDERSON CO PROBATION",2
"2641","E DIST TX TYLER DIV GREGG CO CRIM AT LARGE",2
"2642","E DIST TX TYLER DIV HENDERSON CO CRIM AT LARGE",3
"2643","E DIST TX TYLER DIV HENDERSON CO PROBATION",1
"2644","E DIST TX TYLER DIV PANOLA CO CRIM AT LARGE",1
"2645","E DIST TX TYLER DIV RUSK CO CRIM AT LARGE",4
"2646","E DIST TX TYLER DIV RUSK CO PROBATION",6
"2647","E DIST TX TYLER DIV SMITH CO CRIM AT LARGE",28
"2648","E DIST TX TYLER DIV SMITH CO PROBATION",4
"2649","E DIST TX TYLER DIV TYLER FPO",1
"2650","E DIST TX TYLER DIV VAN ZANDT CO CRIM AT LARGE",1
"2651","EAGAN POLICE DEPARTMENT, MN",6
"2652","EAGLE COUNTY",5
"2653","EAGLE COUNTY JAIL",265
"2654","EAGLE COUNTY PROBATION OFFICE",18
"2655","EAGLE COUNTY, COLORADO",39
"2656","EAGLE PASS STATION",1
"2657","EARLY COUNTY, GA",4
"2658","EAST ""Y"" TO TWIN BRIDGES",1
"2659","EAST BATON ROUGE PARISH PRISON",114
"2660","EAST BATON ROUGE PARRISH SHERRIF'S OFFICE, LA",3
"2661","EAST BOSTON DISTRICT COURT",8
"2662","EAST BRUNSWICK PD",136
"2663","EAST FELICIANA PARISH JAIL",2
"2664","EAST HAMPTON, CT",1
"2665","EAST HANOVER TWP PD",25
"2666","EAST HARTFORD, CT",10
"2667","EAST HAVEN, CT",1
"2668","EAST HAVEN, CT POLICE DEPARTMENT",1
"2669","EAST HIDALGO DETENTION CENTER, LA VILLA, TX",30
"2670","EAST HUNT CORRECTIONAL CENTER",2
"2671","EAST JERSEY STATE PRISION",38
"2672","EAST LOS ANGELES SHERIFF'S DEPT, EAST LOS ANGELES, CA",2
"2673","EAST MESA DETENTION FACILITY",133
"2674","EAST MOLINE CORRECTIONAL CENTER, IL (ILLINOIS DOC)",1
"2675","EAST ORANGE PD",206
"2676","EAST POINT, GA",24
"2677","EAST RUTHERFORD PD",20
"2678","EAST SYRACUSE VILLAGE POLICE DEPARTMENT",1
"2679","EAST WINDSOR TOWNSHIP POLICE DEPARTMENT",30
"2680","EAST WINDSOR, CT",2
"2681","EAST WINDSOR, CT POLICE DEPARTMENT",2
"2682","EASTAMPTON POLICE DEPARTMENT",1
"2683","EASTERN CORRECTIONAL INSTITUTION",46
"2684","EASTERN MISSOURI CORRECTIONAL CENTER, MISSOURI DEPARTMETN OF CORRECTIONS",4
"2685","EASTERN NY CORRECTIONAL FACILITY NY STATE",1
"2686","EASTERN OREGON CORRECTIONAL INSTITUTION (EOCI)",4
"2687","EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI",60
"2688","EASTERN SHORE AREA, VIRGINIA",4
"2689","EASTERN SHORE REGIONAL JAIL - VA",5
"2690","EASTERN SHORE REGIONAL JAIL VA",23
"2691","EASTLAND COUNTY",5
"2692","Eastland County, TX At Large",1
"2693","Eastland County, TX Jail",7
"2694","EASTON, MD GENERAL AREA",50
"2695","EATON COUNTY JAIL, CHARLOTTE, MI",24
"2696","EATONTOWN PD",33
"2697","ECC GENERAL AREA, NON-SPECIFIC",81
"2698","ECHO GLEN CHILDREN'S CENTER",1
"2699","ECHOLS COUNTY SHERIFFS, GA",2
"2700","ECHOLS COUNTY, GA",3
"2701","ECORSE POLICE DEPARTMENT",2
"2702","ECORSE, MICHIGAN",6
"2703","ECS GENERAL AREA, NON-SPECIFIC",1
"2704","ECTOR COUNTY DETENTION CENTER",91
"2705","ECTOR COUNTY LAW ENFORCEMENT CENTER",186
"2706","EDC GENERAL AREA, NON-SPECIFIC",785
"2707","EDDY COUNTY DETENTION CENTER",2
"2708","EDEN DETENTION CENTER - EDEN, TX",1730
"2709","Eden Detention Center - USMS",3
"2710","Eden Detention Center-Eden, Texas",279
"2711","EDEN PRAIRIE PD, MN",10
"2712","EDGARTOWN POLICE DEPT",1
"2713","EDGECOMB COUNTY FUGITIVE OPERATIONS",8
"2714","EDGECOMB COUNTY JAIL",26
"2715","EDGEFIELD COUNTY JAIL",1
"2716","EDGEFIELD FEDERAL CORRECTIONAL INSTITUTION",3
"2717","EDGEFIELD, SC",59
"2718","EDGEWATER PARK POLICE DEPARTMENT",7
"2719","EDGEWATER PD",61
"2720","EDINA POLICE DEPARTMENT - MINNESOTA",14
"2721","EDINBURG CITY JAIL, TX - TX1080400",191
"2722","EDISON PD",236
"2723","EDMOND POLICE DEPARTMENT EDMOND, OK",52
"2724","EDMUNDS CO JAIL, IPSWICH, SD",1
"2725","EDNA GENERAL AREA, NON-SPECIFIC",6
"2726","EDNA MAHAN CORRECTIONAL FACILITY FOR WOMEN",46
"2727","EDWARDS, COLORADO",2
"2728","EFFINGHAM COUNTY, GA",30
"2729","EFFINGHAM, ILLINOIS POLICE DEPARTMENT",8
"2730","EGG HARBOR CITY POLICE DEPARTMENT",1
"2731","EGG HARBOR TOWNSHIP POLICE DEPARTMENT",2
"2732","El Cajon, CA",8
"2733","EL CAMPO POLICE DEPT, WHARTON CO, TX",2
"2734","EL CAMPO POLICE DEPT, WHARTON COUNTY, TX",3
"2735","EL CAMPO, TEXAS",6
"2736","EL CENTRO BORDER PATROL",28
"2737","EL CENTRO GENERAL AREA, NON SPECIFIC",10
"2738","EL CENTRO SECTOR BORDER PATROL",6
"2739","EL CENTRO SERVICE PROCESSING CENTER REPROCESSED CASES",3
"2740","EL CENTRO SERVICE PROCESSING CENTER STREET TEAM",1
"2741","EL DORADO COUNTY JAIL",39
"2742","EL DORADO COUNTY SHERIFF OFFICE",1
"2743","EL JEBEL, COLORADO",1
"2744","EL MONTE POLICE DEPT, EL SEGUNDO, CA",1
"2745","EL PASO COUNTY",53
"2746","EL PASO COUNTY DETENTION FACILITY",180
"2747","EL PASO COUNTY JAIL",1283
"2748","EL PASO COUNTY PROBATION OFFICE",6
"2749","EL PASO COUNTY, COLORADO",123
"2750","EL PASO PROBATION & PAROLE OFFICES WEST TEXAS",2
"2751","El Reno FCI",21
"2752","El Reno PD",33
"2753","ELBERT COUNTY",4
"2754","ELBERT COUNTY JAIL",18
"2755","ELBERT COUNTY, GA",7
"2756","ELBERTON, GA",2
"2757","ELGIN, IL POLICE DEPARTMENT",1
"2758","ELIOT POLICE DEPARTMENT",1
"2759","ELIZABETH CITY",59
"2760","ELIZABETH PD",940
"2761","ELK COUNTY PRISON",3
"2762","ELK GROVE POLICE DEPARTMENT",9
"2763","ELKHART COUNTY SHERIFF'S OFFICE, INDIANA",326
"2764","ELKIN, NC",2
"2765","ELLIJAY, GA",15
"2766","ELLINGTON, CT",1
"2767","ELLIS COUNTY GENERAL AREA",5
"2768","ELLIS COUNTY JAIL",3
"2769","ELLIS COUNTY SHERIFFS OFFICE",158
"2770","ELLIS COUNTY SHERIFFS OFFICE, HAYS, KANSAS",19
"2771","ELLISVILLE POLICE DEPARTMENT, MISSOURI",2
"2772","ELLSWORTH COUNTY SHERRIFFS OFFICE, ELLSWORTH, KANSAS",3
"2773","ELLSWORTH POLICE DEPARTMENT",5
"2774","ELMER POLICE DEPARTMENT",3
"2775","ELMIRA CORRECTIONAL FACILITY",36
"2776","ELMORE COUNTY GENERAL AREA ID",5
"2777","ELMORE COUNTY JAIL ID",246
"2778","ELMWOOD PARK PD",34
"2779","ELP GENERAL AREA, NON-SPECIFIC",282
"2780","ELY STATE PRISON (NDOC)",2
"2781","EMANUEL COUNTY, GA",1
"2782","EMERSON PD",10
"2783","EMERY COUNTY JAIL - UT",13
"2784","EMMET COUNTY JAIL, IA",1
"2785","EMMETT COUNTY JAIL, PETOSKEY, MI",9
"2786","Encinitas, CA",7
"2787","ENFIELD CORRECTIONAL INSTITUTION, ENFIELD, CT",13
"2788","ENFIELD JUDICIAL MARSHAL'S LOCKUP",1
"2789","ENFIELD, CT",4
"2790","ENFIELD, CT POLICE DEPARTMENT",2
"2791","ENGLAND, AR POLICE DEPARTMENT",1
"2792","ENGLEWOOD CLIFFS PD",4
"2793","ENGLEWOOD PD",81
"2794","ENGLISTOWN BOROUGH PD",11
"2795","ENNIS POLICE DEPARTMENT",60
"2796","EPC GENERAL AREA, NON-SPECIFIC",2367
"2797","ERATH COUNTY JAIL",25
"2798","ERIE COUNTY",65
"2799","ERIE COUNTY JAIL",227
"2800","ERIE COUNTY PRISON",43
"2801","ERIE COUNTY SHERIFF",1
"2802","ERO LOUISVILLE, KY SUB OFFICE",286
"2803","ERO Office",5
"2804","ERO Office Delegates Drive",28
"2805","ERO STREET ARREST",186
"2806","ESCAMBIA COUNTY JAIL, AL",19
"2807","ESCAMBIA COUNTY JAIL, FL",392
"2808","ESCAMBIA COUNTY PROBATION AND PAROLE",1
"2809","ESCAMBIA COUNTY, FL COMMUNITY CORR AND MISD PROBATION",10
"2810","ESCONDIDO POLICE DEPARTMENT",2
"2811","Escondido, CA",56
"2812","ESM GENERAL AREA, NON-SPECIFIC",6
"2813","ESMERELDA COUNTY JAIL",1
"2814","ESSEX COUNTY HOC",1130
"2815","ESSEX COUNTY JAIL",4336
"2816","ESSEX COUNTY LOCAL POLICE DEPT",89
"2817","ESSEX COUNTY PROSECUTOR REFERRAL",20
"2818","ESSEX COUNTY SHERIFF",1
"2819","ESSEX DISTRICT COURT",40
"2820","ESSEX FELLS PD",15
"2821","ESTILL FEDERAL CORRECTIONAL INSTITUTION",178
"2822","ETW GENERAL AREA, NON-SPECIFIC",733
"2823","ETX GENERAL AREA, NON-SPECIFIC",173
"2824","EUG GENERAL AREA, NON-SPECIFIC",4
"2825","Eugene CAP",429
"2826","Eugene Non-Detained Docket",316
"2827","Eugene VCAS",37
"2828","EULESS CITY JAIL",86
"2829","EUMCLAW CITY JAIL",10
"2830","EUREKA POLICE DEPARTMENT, MISSOURI",2
"2831","EVANS COUNTY, GA",10
"2832","Evanston, WY",3
"2833","EVD GENERAL AREA, NON-SPECIFIC",2
"2834","EVERGLADES CORRECTIONAL INSTITUTION",80
"2835","EVESHAM POLICE DEPARTMENT",5
"2836","EWING TOWNSHIP POLICE DEPARTMENT",8
"2837","FACILITY 8",28
"2838","FAIR HAVEN PD",1
"2839","FAIR LAWN PD",37
"2840","FAIRBANKS CORRECTIONAL CENTER",56
"2841","FAIRFAX COUNTY JAIL - VA",3454
"2842","FAIRFAX COUNTY JAIL-VA",1
"2843","FAIRFAX COUNTY JUVENILE DETENTION CENTER - VA",8
"2844","FAIRFEILD COUNTY, SC",9
"2845","FAIRFIELD PD",23
"2846","FAIRFIELD POLICE DEPARTMENT",1
"2847","FAIRFIELD, CT",2
"2848","FAIRHOPE PD, AL",10
"2849","FAIRVIEW PD",66
"2850","FAIRVIEW TOWNSHIP POLICE",1
"2851","FAJARDO, PUERTO RICO",2
"2852","FALL RIVER COUNTY JAIL, HOT SPRINGS, SD",75
"2853","FALL RIVER POLICE DEPT",5
"2854","Fallbrook, CA",7
"2855","FALLON COUNTY JAIL MT",1
"2856","FALLS COUNTY JAIL, MARLIN, TEXAS",40
"2857","FALMOUTH POLICE DEPARTMENT",3
"2858","FANNIN COUNTY CRIM AT LARGE",3
"2859","FANNIN COUNTY GENERAL AREA",4
"2860","FANNIN COUNTY JAIL",10
"2861","FANNIN COUNTY NON CRIM",2
"2862","FANNIN COUNTY PROBATION",1
"2863","FANNIN COUNTY SHERIFFS OFFICE",37
"2864","FANNIN COUNTY, GA",13
"2865","FANWOOD PD",7
"2866","FAR HILLS PD",8
"2867","FARIBAULT COUNTY JAIL, MN",20
"2868","FARIFIELD COUNTY JAIL",2
"2869","FARMERS BRANCH JAIL",261
"2870","FARMINGTON CORRECTIONAL CENTER, MISSOURI DEPT OF CORRECTIONS",53
"2871","FARMINGTON HILLS, MICHIGAN",28
"2872","FARMINGTON POLICE DEPARTMENT",4
"2873","FARMINGTON, CT",2
"2874","FARMINGTON, MICHIGAN",13
"2875","FAULKNER COUNTY JAIL",72
"2876","FAUQUIER COUNTY JAIL - VA",145
"2877","FAYETTE CO JAIL, LA GRANGE, TX",15
"2878","FAYETTE COUNTY CORRECTIONS, KY",981
"2879","FAYETTE COUNTY JAIL",1
"2880","FAYETTE COUNTY JAIL, IA",34
"2881","FAYETTE COUNTY JAIL, LA GRANGE, TX",54
"2882","FAYETTE COUNTY PRISON",9
"2883","FAYETTE COUNTY PROBATION, LA GRANGE, TX",3
"2884","FAYETTE COUNTY SHERIFF'S OFFICE, INDIANA",1
"2885","FAYETTE COUNTY, GA",142
"2886","FAYETTEVILLE PROBATION OFFICE",1
"2887","FAYETTEVILLE, GA",38
"2888","FAYETTVILLE ICE OFFICE",83
"2889","FBI MINNESOTA",16
"2890","FBI PORTLAND",2
"2891","FCD GENERAL AREA, NON-SPECIFIC",1488
"2892","FCI  FORREST CITY",39
"2893","FCI Ashland, KY",2
"2894","FCI BEAUMONT, JEFFERSON CO, TX",196
"2895","FCI BEAUMONT, JEFFERSON COUNTY, TX",958
"2896","FCI BENNETTSVILLE",507
"2897","FCI BERLIN",246
"2898","FCI CARSWELL",14
"2899","FCI EDGEFIELD",378
"2900","FCI ELKTON",7
"2901","FCI FAIRTON, NEW JERSEY",93
"2902","FCI FORT WORTH",120
"2903","FCI JESUP, GA",97
"2904","FCI LA TUNA",171
"2905","FCI MANCHESTER, KY",12
"2906","FCI MCCREARY, KY",37
"2907","FCI MCDOWELL",504
"2908","FCI MENDOTA",398
"2909","FCI MILAN, MILAN, MI",42
"2910","FCI SANDSTONE- MN",50
"2911","FCI SEAGOVILLE",70
"2912","FCI TEXARKANA",93
"2913","FCI WASECA- MN",217
"2914","FCS GENERAL AREA, NON-SPECIFIC",58
"2915","FDC HONOLULU",14
"2916","FED COAST BEND USM-ARANSAS, TX",652
"2917","FED COAST BEND USM, ARANSAS, TX",35
"2918","FED JOE CORLEY CONROE, TX",100
"2919","FEDCAP-CCA U.S. MARSHALLS",298
"2920","FEDCAP-CHECK CURRENT I-213",24
"2921","FEDCAP-GEO U.S. MARSHALLS",988
"2922","FEDCAP-MCC",612
"2923","FEDERAL BUREAU OF INVESTIGATION",133
"2924","FEDERAL BUREAU OF INVESTIGATIONS",3
"2925","FEDERAL CORRECETIONAL INSTITUTE (BOP), INDIANA",77
"2926","FEDERAL CORRECTIONAL INSTITUTE - ALICEVILLE, AL",1512
"2927","FEDERAL CORRECTIONAL INSTITUTE - MCCREARY",1
"2928","FEDERAL CORRECTIONAL INSTITUTE - YAZOO CITY",1
"2929","FEDERAL CORRECTIONAL INSTITUTE POLLOCK (MEDIUM)",377
"2930","FEDERAL CORRECTIONAL INSTITUTE RAY BROOK",277
"2931","FEDERAL CORRECTIONAL INSTITUTE YAZOO CITY (MEDIUM)",7
"2932","FEDERAL CORRECTIONAL INSTITUTE, MONTGOMERY, AL",1
"2933","FEDERAL CORRECTIONAL INSTITUTION - CUMBERLAND",41
"2934","FEDERAL CORRECTIONAL INSTITUTION LEAVENWORTH KANSAS",100
"2935","FEDERAL DETENTION CENTER (FDC)",556
"2936","FEDERAL JOE CORLEY CONROE, TX",44
"2937","FEDERAL MEDICAL CENTER-DEVENS",75
"2938","FEDERAL PAROLE & PROBATION",1
"2939","FEDERAL PRISON LOMPOC LOW",47
"2940","FEDERAL PRISON LOMPOC MEDIUM",1084
"2941","FEDERAL PRISON LOMPOC-LOW (FCI), LOMPOC, CA",1
"2942","FEDERAL PRISON LOMPOC-LOW(FCI) LOMPOC, CA",3
"2943","FEDERAL PROBATION COLUMBUS, OHIO",1
"2944","FEDERAN CORRECTIONAL INSTITUTION (FEMALE), DANBURY, CT",70
"2945","FERGUS COUNTY JAIL MT",2
"2946","FERGUSON TOWNSHIP POLICE DEPARTMENT - STATE COLLEGE, PA",10
"2947","FERNDALE, MICHIGAN",3
"2948","FERRIS POLICE DEPARTMENT",1
"2949","FERRY CO. JAIL",4
"2950","FIELD ARREST",25
"2951","FIFE CITY JAIL",52
"2952","FILLMORE COUNTY JAIL, MN",2
"2953","FILLMORE COUNTY JAIL, NE",4
"2954","FINNEY COUNTY SHERIFFS OFFICE, GARDEN CITY, KANSAS",48
"2955","FIREBAUGH POLICE DEPARTMENT",6
"2956","FISHKILL CORRECTIONAL FACILITY NY STATE",3
"2957","FITCHBURG DISTRICT COURT",3
"2958","FITCHBURG POLICE DEPT",2
"2959","FIVE POINTS CORRECTIONAL FACILITY",3
"2960","FL DEPARTMENT OF CORRECTIONS",362
"2961","FL Womens Reception Center",54
"2962","FLAGLER COUNTY PROBATION & PAROLE",3
"2963","FLAT ROCK POLICE DEPARTMENT",3
"2964","FLATHEAD COUNTY JAIL MT",15
"2965","FLEMING COUNTY JAIL",2
"2966","FLEMINGTON PD",34
"2967","FLINT, MICHIGAN",16
"2968","FLO GENERAL AREA, NON-SPECIFIC",1642
"2969","FLORENCE CAP (ERO)",106
"2970","FLORENCE COUNTY DETENTION CENTER",103
"2971","FLORENCE COUNTY, SC",17
"2972","FLORENCE DETENTION CENTER **REPROCESSED EVENT**",11
"2973","FLORENCE MCCLURE WOMENS CORRECTIONAL CENTER",21
"2974","FLORENCE POLICE DEPARTMENT",1
"2975","FLORENCE TOWNSHIP POLICE DEPARTMENT",3
"2976","FLORHAM PARK PD",13
"2977","FLORIDA PROBATION & PAROLE - 013",1
"2978","FLORIDA PROBATION & PAROLE - 015 (PENSACOLA WEST)",4
"2979","FLORIDA PROBATION & PAROLE - 018 (PENSACOLA CENTRAL)",1
"2980","FLORIDA STATE PRISON",1
"2981","FLORISSANT POLICE DEPARTMENT, MISSOURI",1
"2982","FLOWER MOUND JAIL",48
"2983","FLOWERY BRANCH, GA",1
"2984","FLOYD COUNTY DETENTION CENTER, KY",1
"2985","FLOYD COUNTY JAIL",1
"2986","FLOYD COUNTY JAIL, IA",12
"2987","FLOYD COUNTY SHERIFF'S OFFICE, INDIANA",96
"2988","FLOYD COUNTY, GA",149
"2989","FLUVANNA CORRECTIONAL CENTER FOR WOMEN - VA",13
"2990","FMC CARSWELL",49
"2991","FMC ROCHESTER- MN",99
"2992","FMY GENERAL AREA, NON-SPECIFIC",1081
"2993","FOLEY PD, AL",138
"2994","FOLKSTON, GA",11
"2995","FORD COUNTY SHERIFF'S OFFICE, IL",2
"2996","FORD COUNTY SHERIFFS OFFICE, DODGE CITY, KANSAS",118
"2997","FOREST HILL POLICE DEPARTMENT",14
"2998","FOREST PARK, GA",89
"2999","FORISTEL POLICE DEPARTMENT, MISSOURI",1
"3000","FORKS CORRECTIONS",4
"3001","FORREST COUNTY ADULT DETENTION CENTER, MS",158
"3002","FORREST COUNTY CWC (COMMUNITY WORK CENTER), MS",1
"3003","FORREST COUNTY, MS",19
"3004","FORSYTH CO PROBATION N MLK ST WINSTON-SALEM",1
"3005","FORSYTH COUNTY JAIL",485
"3006","FORSYTH COUNTY JAIL, NC",11
"3007","FORSYTH COUNTY, GA",149
"3008","FORSYTH COUNTY, NC",32
"3009","FORSYTH PROBATION OFFICE",1
"3010","FORSYTH, GA",45
"3011","FORT BEND CO PROBATION, ROSENBERG, TX",2
"3012","Fort Bend County Jail",1
"3013","FORT BEND COUNTY JAIL, RICHMOND, TX",561
"3014","FORT BEND COUNTY PROBATION, ROSENBERG, TX",9
"3015","FORT CARSON ARMY POST",3
"3016","FORT DIX EAST, NEW JERSEY",402
"3017","FORT DIX WEST, NEW JERSEY",125
"3018","FORT DODGE CORRECTIONAL FACILITY, IA",2
"3019","FORT EDWARD POLICE DEPARTMENT",1
"3020","FORT KENT POLICE DEPARTMENT",2
"3021","FORT LEE PD",155
"3022","FORT SMITH ICE OFFICE",33
"3023","FORT VALLEY, GA",3
"3024","FORT WORTH GENERAL AREA, NON-SPECIFIC",1304
"3025","FORT WORTH POLICE DEPARTMENT",568
"3026","FOS GENERAL AREA, NON-SPECIFIC",11
"3027","FOUNTAIN COUNTY SHERIFF'S OFFICE, INDIANA",1
"3028","FOWLER POLICE DEPARTMENT",1
"3029","FPC DULUTH, MN",6
"3030","FRAMIGNHAM POLICE DEPT",39
"3031","FRAMINGHAM DISTRICT COURT",56
"3032","FRANKLIN BOROUGH PD",1
"3033","FRANKLIN CO KS",2
